,Biological Group,Class,Common Name,Relation to Imagenet,Notes,Annotator
546,Aves,Circus cyaneus,Hen harrier,relative in imagenet,relative: kite,NE
547,Aves,Circus cyaneus hudsonius,"Northern harrier, marsh hawk",relative in imagenet,relative: kite,NE
548,Aves,Cistothorus palustris,"Marsh wren, long-billed marsh wren",not in imagenet,,NE
549,Aves,Cistothorus platensis,"Sedge wren, grass wren",not in imagenet,,NE
550,Aves,Clangula hyemalis,"Long-tailed duck, oldsquaw",relative in imagenet,"relative: red-breasted merganser, drake",NE
551,Aves,Coccothraustes coccothraustes,Hawfinch,relative in imagenet,"relative: brambling, goldfinch, house finch, junco",NE
552,Aves,Coccothraustes vespertinus,Evening grosbeak,relative in imagenet,"relative: brambling, goldfinch, house finch, junco",NE
553,Aves,Coccyzus americanus,"Yellow-billed cuckoo, rain crow, storm crow",relative in imagenet,relative: coucal,NE
554,Aves,Coccyzus erythropthalmus,Black-billed cuckoo,relative in imagenet,relative: coucal,NE
555,Aves,Coccyzus minor,Mangrove cuckoo,relative in imagenet,relative: coucal,NE
556,Aves,Cochlearius cochlearius,"Boat-billed heron, boatbill",relative in imagenet,"relative: bittern, little blue heron",NE
557,Aves,Coereba flaveola,Bananaquilt,not in imagenet,,NE
558,Aves,Colaptes auratus,"Northern flicker, common flicker, yellowhammer, clape, gaffer woodpecker, harry-wicket, heigh-ho, wake-up, walk-up, wick-up, yarrup, gawker bird",not in imagenet,,NE
559,Aves,Colaptes auratus auratus,Eastern yellow-shafted flicker,not in imagenet,,NE
560,Aves,Colaptes auratus cafer,"Red-shafted flicker, common flicker, yellowhammer, clape, gaffer woodpecker, harry-wicket, heigh-ho, wake-up, walk-up, wick-up, yarrup, gawker bird",not in imagenet,,NE
561,Aves,Colaptes rubiginosus,Golden-olive woodpecker,not in imagenet,,NE
562,Aves,Colinus virginianus,"Northern bobwhite, Virginia quail, bobwhite quail",parent in imagenet,parent: quail,NE
563,Aves,Columba livia,"Rock pigeon, rock dove, common pigeon",not in imagenet,,NE
564,Aves,Columba livia domestica,Feral pigeon,not in imagenet,,NE
565,Aves,Columba palumbus,"Common wood-pigeon, September puffin, culver",not in imagenet,,NE
566,Aves,Columbina inca,"Inca dove, Mexican dove",not in imagenet,,NE
567,Aves,Columbina passerina,Common ground-dove,not in imagenet,,NE
568,Aves,Columbina talpacoti,Ruddy ground dove,not in imagenet,,NE
569,Aves,Contopus cooperi,Olive-sided flycatcher,not in imagenet,,NE
570,Aves,Contopus pertinax,"Greater pewee, Coues' flycatcher",not in imagenet,,NE
571,Aves,Contopus sordidulus,Western wood-pewee,not in imagenet,,NE
572,Aves,Contopus virens,Eastern wood-pewee,not in imagenet,,NE
573,Aves,Copsychus malabaricus,White-rumped shama,not in imagenet,,NE
574,Aves,Copsychus saularis,Oriental magpie-robin,not in imagenet,! In the flycatcher family,NE
575,Aves,Coracias benghalensis,Indian roller,not in imagenet,,NE
576,Aves,Coracias caudatus,"Lilac-breasted roller, fork-tailed roller, lilac-throated roller, Mosilikatze's roller",not in imagenet,,NE
577,Aves,Coracias garrulus,European roller,not in imagenet,,NE
578,Aves,Coragyps atratus,"Black vulture, American black vulture",parent in imagenet,parent: vulture,NE
579,Aves,Corvus albus,Pied crow,relative in imagenet,"relative: jay, magpie",NE
580,Aves,Corvus brachyrhynchos,American crow,relative in imagenet,"relative: jay, magpie",NE
581,Aves,Corvus caurinus,Northwestern crow,relative in imagenet,"relative: jay, magpie",NE
582,Aves,Corvus corax,"Common raven, northern raven",relative in imagenet,"relative: jay, magpie",NE
583,Aves,Corvus cornix,"Hooded crow, hoodie, Scotch crow, Danish crow, grey crow",relative in imagenet,"relative: jay, magpie",NE
584,Aves,Corvus corone,Carrion crow,relative in imagenet,"relative: jay, magpie",NE
585,Aves,Corvus frugilegus,Rook,relative in imagenet,"relative: jay, magpie",NE
586,Aves,Corvus monedula,"Eurasian jackdaw, western jackdaw, European jackdaw, jackdaw",relative in imagenet,"relative: jay, magpie",NE
587,Aves,Corvus ossifragus,Fish crow,relative in imagenet,"relative: jay, magpie",NE
588,Aves,Corvus splendens,"House crow, Indian crow, greynecked crow, Ceylon crow, Colombo crow",relative in imagenet,"relative: jay, magpie",NE
589,Aves,Crax rubra,Great curassow,not in imagenet,,NE
590,Aves,Crotophaga ani,Smooth-billed ani,relative in imagenet,relative: coucal,NE
591,Aves,Crotophaga sulcirostris,Groove-billed ani,relative in imagenet,relative: coucal,NE
592,Aves,Cuculus canorus,Common cuckoo,relative in imagenet,relative: coucal,NE
593,Aves,Cyanerpes cyaneus,Red-legged honeycreeper,not in imagenet,,NE
594,Aves,Cyanistes caeruleus,Eurasian blue tit,relative in imagenet,relative: chickadee,NE
595,Aves,Cyanocitta cristata,Blue jay,parent in imagenet,parent: jay,NE
596,Aves,Cyanocitta stelleri,"Stellar's jay, long-crested jay, mountain jay, pine jay",parent in imagenet,parent: jay,NE
597,Aves,Cyanocompsa parellina,Blue bunting,not in imagenet,,NE
598,Aves,Cyanocorax yncas,Green jay,parent in imagenet,parent: jay,NE
599,Aves,Cyanocorax yucatanicus,Yucatan jay,parent in imagenet,parent: jay,NE
600,Aves,Cyanoramphus novaezelandiae,"Red-crowned parakeet, red-fronted parakeet, kakariki",relative in imagenet,"relative: african grey, macaw",NE
601,Aves,Cygnus atratus,Black swan,in imagenet,,NE
602,Aves,Cygnus buccinator,Trumpeter swan,relative in imagenet,relative: black swan,NE
603,Aves,Cygnus columbianus,"Tundra swan, Bewick's swan, whisling swan",relative in imagenet,relative: black swan,NE
604,Aves,Cygnus cygnus,"Whooper swan, common swan",relative in imagenet,relative: black swan,NE
605,Aves,Cygnus olor,Mute swan,relative in imagenet,relative: black swan,NE
606,Aves,Cynanthus latirostris,Broad-billed hummingbird,parent in imagenet,parent: hummingbird,NE
607,Aves,Cyrtonyx montezumae,"Montezuma quail, Mearns's quail, harlequin quail, fool quail",parent in imagenet,parent: quail,NE
608,Aves,Dacelo novaeguineae,Laughing kookaburra,not in imagenet,,NE
609,Aves,Delichon urbicum,"Common house martin, northern house martin, house martin",not in imagenet,,NE
610,Aves,Dendragapus fuliginosus,Sooty grouse,relative in imagenet,"relative: black grouse, prairie chicken, ptarmigan, ruffed grouse",NE
611,Aves,Dendragapus obscurus,Dusky grouse,relative in imagenet,"relative: black grouse, prairie chicken, ptarmigan, ruffed grouse",NE
612,Aves,Dendrocopos major,Great spotted woodpecker,not in imagenet,,NE
613,Aves,Dendrocygna autumnalis,"Black-bellied whistling duck, black-bellied tree duck",relative in imagenet,"relative: red-breasted merganser, drake",NE
614,Aves,Dendrocygna bicolor,"Fulvous whistling-duck, fulvous tree duck",relative in imagenet,"relative: red-breasted merganser, drake",NE
615,Aves,Dendrocygna viduata,White-faced whistling duck,relative in imagenet,"relative: red-breasted merganser, drake",NE
616,Aves,Dicrurus adsimilis,"Fork-tailed drongo, common drongo, African drongo, savanna drongo",relative in imagenet,,NE
617,Aves,Diglossa baritula,Cinnamon-bellied flowerpiercer,not in imagenet,,NE
618,Aves,Dives dives,Melodious blackbird,not in imagenet,,NE
619,Aves,Dolichonyx oryzivorus,Bobolink,not in imagenet,,NE
620,Aves,Dryocopus lineatus,Linneated woodpecker,not in imagenet,,NE
621,Aves,Dryocopus pileatus,Pileated woodpecker,not in imagenet,,NE
622,Aves,Dumetella carolinensis,"Gray catbird, grey catbird",not in imagenet,,NE
623,Aves,Egretta caerulea,Little blue heron,in imagenet,,NE
624,Aves,Egretta garzetta,Little egret,relative in imagenet,"relative: American egret, bittern, little blue heron",NE
625,Aves,Egretta gularis,"Western reef-heron, western reef-egret",relative in imagenet,"relative: American egret, bittern, little blue heron",NE
626,Aves,Egretta novaehollandiae,"White-faced heron, white-fronted heron",relative in imagenet,"relative: American egret, bittern, little blue heron",NE
627,Aves,Egretta rufescens,Reddish egret,relative in imagenet,"relative: American egret, bittern, little blue heron",NE
628,Aves,Egretta sacra,"Pacific reef-heron, eastern reef heron, eastern reef egret",relative in imagenet,"relative: American egret, bittern, little blue heron",NE
629,Aves,Egretta thula,Snowy egret,relative in imagenet,"relative: American egret, bittern, little blue heron",NE
630,Aves,Egretta tricolor,"Tricolored heron, Louisiana heron",relative in imagenet,"relative: American egret, bittern, little blue heron",NE
631,Aves,Elanoides forficatus,Swallow-tailed kite,parent in imagenet,parent: kite,NE
632,Aves,Elanus leucurus,White-tailed kite,parent in imagenet,parent: kite,NE
633,Aves,Emberiza calandra,Corn bunting,not in imagenet,,NE
634,Aves,Emberiza citrinella,Yellowhammer,not in imagenet,,NE
635,Aves,Emberiza schoeniclus,Reed bunting,not in imagenet,,NE
636,Aves,Empidonax difficilis,"Pacific-slope flycatcher, western flycatcher",not in imagenet,,NE
637,Aves,Empidonax fulvifrons,Buff-breasted flycatcher,not in imagenet,,NE
638,Aves,Empidonax hammondii,Hammond's flycatcher,not in imagenet,,NE
639,Aves,Empidonax minimus,"Least flycatcher, chebec, chebecker",not in imagenet,,NE
640,Aves,Empidonax occidentalis,"Cordilleran flycatcher, western flycatcher",not in imagenet,,NE
641,Aves,Empidonax traillii,Willow flycatcher,not in imagenet,,NE
642,Aves,Eolophus roseicapilla,"Galah, pink and grey",relative in imagenet,relative: sulphur-crested cockatoo,NE
643,Aves,Ephippiorhynchus senegalensis,"Saddle-billed stork, saddlebill",relative in imagenet,"relative: black stork, white stork",NE
644,Aves,Eremophila alpestris,"Horned lark, shore lark",not in imagenet,,NE
645,Aves,Erithacus rubecula,"European robin, robin, robin redbreast",in imagenet,,NE
646,Aves,Estrilda astrild,"Common waxbill, St Helena waxbill",not in imagenet,! it's an estrildid finch but not part of the finch family,NE
647,Aves,Eudocimus albus,White ibis,not in imagenet,,NE
648,Aves,Eudyptula minor,Little penguin,relative in imagenet,relative: king penguin,NE
649,Aves,Eugenes fulgens,Rivoli's hummingbird,parent in imagenet,parent: hummingbird,NE
650,Aves,Eumomota superciliosa,"Turquoise-browed motmot, torogoz",not in imagenet,,NE
651,Aves,Euphagus carolinus,Rusty blackbird,not in imagenet,,NE
652,Aves,Euphagus cyanocephalus,Brewer's blackbird,not in imagenet,,NE
653,Aves,Euphonia affinis,Scrub euphonia,relative in imagenet,"relative: brambling, goldfinch, house finch, junco",NE
654,Aves,Euphonia elegantissima,"Elegant euphonia, blue-hooded euphonia",relative in imagenet,"relative: brambling, goldfinch, house finch, junco",NE
655,Aves,Euphonia hirundinacea,Yellow-throated euphonia,relative in imagenet,"relative: brambling, goldfinch, house finch, junco",NE
656,Aves,Eupsittula canicularis,"Orange-fronted parakeet, orange-fronted conure, half-moon conure",relative in imagenet,"relative: african grey, macaw",NE
657,Aves,Eupsittula nana,"Olive-throated parakeet, olive-throated conure",relative in imagenet,"relative: african grey, macaw",NE
658,Aves,Falcipennis canadensis,"Spruce grouse, Canada grouse",relative in imagenet,"relative: black grouse, prairie chicken, ptarmigan, ruffed grouse",NE
659,Aves,Falco columbarius,"Merlin, pigeon hawk",relative in imagenet,relative: kite,NE
660,Aves,Falco femoralis,"Aplomado falcon, orange-chested hobby",relative in imagenet,relative: kite,NE
661,Aves,Falco mexicanus,Prairie falcon,relative in imagenet,relative: kite,NE
662,Aves,Falco novaeseelandiae,"New Zealand falcon, karearea",relative in imagenet,relative: kite,NE
663,Aves,Falco peregrinus,"Peregrine falcon, duck hawk",relative in imagenet,relative: kite,NE
664,Aves,Falco rufigularis,Bat falcon,relative in imagenet,relative: kite,NE
665,Aves,Falco sparverius,American kestrel,relative in imagenet,relative: kite,NE
666,Aves,Falco subbuteo,"Eurasian hobby, hobby",relative in imagenet,relative: kite,NE
667,Aves,Falco tinnunculus,"Eurasian kestrel, common kestrel, European kestrel, old world kestrel, kestrel",relative in imagenet,relative: kite,NE
668,Aves,Ficedula hypoleuca,European pied flycatcher,not in imagenet,,NE
669,Aves,Florisuga mellivora,,,,
670,Aves,Francolinus pondicerianus,,,,
671,Aves,Fratercula arctica,,,,
672,Aves,Fratercula cirrhata,,,,
673,Aves,Fregata magnificens,,,,
674,Aves,Fregata minor,,,,
675,Aves,Fringilla coelebs,,,,
676,Aves,Fringilla montifringilla,Brambling,in imagenet,,NE
677,Aves,Fulica americana,American coot,in imagenet,,NE
678,Aves,Fulica atra,,,,
679,Aves,Fulmarus glacialis,,,,
680,Aves,Galbula ruficauda,,,,
681,Aves,Galerida cristata,,,,
682,Aves,Gallinago delicata,,,,
683,Aves,Gallinago gallinago,,,,
684,Aves,Gallinula chloropus,"Eurasian moorhen, common moorhen, waterhen, swamp chicken",in imagenet,,NE
685,Aves,Gallinula galeata,,,,
686,Aves,Gallinula tenebrosa,,,,
687,Aves,Gallirallus australis,,,,
688,Aves,Gallus gallus,Chicken,in imagenet,,NE
689,Aves,Gallus gallus domesticus,Chicken,in imagenet,,NE
690,Aves,Garrulus glandarius,,,,
691,Aves,Gavia immer,,,,
692,Aves,Gavia pacifica,,,,
693,Aves,Gavia stellata,,,,
694,Aves,Gelochelidon nilotica,,,,
695,Aves,Geococcyx californianus,,,,
696,Aves,Geococcyx velox,,,,
697,Aves,Geopelia striata,,,,
698,Aves,Geothlypis formosa,,,,
699,Aves,Geothlypis philadelphia,,,,
700,Aves,Geothlypis tolmiei,,,,
701,Aves,Geothlypis trichas,,,,
702,Aves,Geranoaetus albicaudatus,,,,
703,Aves,Gerygone igata,,,,
704,Aves,Glaucidium brasilianum,,,,
705,Aves,Glaucidium gnoma,,,,
706,Aves,Grallina cyanoleuca,,,,
707,Aves,Grus americana,,,,
708,Aves,Grus grus,,,,
709,Aves,Gygis alba,,,,
710,Aves,Gymnogyps californianus,,,,
711,Aves,Gymnorhina tibicen,,,,
712,Aves,Gyps africanus,,,,
713,Aves,Gyps fulvus,,,,
714,Aves,Haematopus bachmani,,,,
715,Aves,Haematopus finschi,,,,
716,Aves,Haematopus ostralegus,,,,
717,Aves,Haematopus palliatus,,,,
718,Aves,Haematopus unicolor,,,,
719,Aves,Haemorhous cassinii,,,,
720,Aves,Haemorhous mexicanus,House finch,in imagenet,,NE
721,Aves,Haemorhous purpureus,,,,
722,Aves,Halcyon smyrnensis,,,,
723,Aves,Haliaeetus leucocephalus,Bald eagle,in imagenet,,NE
724,Aves,Haliaeetus leucogaster,,,,
725,Aves,Haliaeetus vocifer,,,,
726,Aves,Haliastur indus,,,,
727,Aves,Helmitheros vermivorum,,,,
728,Aves,Hemiphaga novaeseelandiae,,,,
729,Aves,Herpetotheres cachinnans,,,,
730,Aves,Himantopus himantopus,,,,
731,Aves,Himantopus leucocephalus,,,,
732,Aves,Himantopus mexicanus,,,,
733,Aves,Hirundo neoxena,,,,
734,Aves,Hirundo rustica,,,,
735,Aves,Hirundo rustica erythrogaster,,,,
736,Aves,Histrionicus histrionicus,,,,
737,Aves,Hydroprogne caspia,,,,
738,Aves,Hylocharis leucotis,,,,
739,Aves,Hylocichla mustelina,,,,
740,Aves,Hymenolaimus malacorhynchos,,,,
741,Aves,Icteria virens,,,,
742,Aves,Icterus abeillei,,,,
743,Aves,Icterus bullockii,,,,
744,Aves,Icterus cucullatus,,,,
745,Aves,Icterus galbula,,,,
746,Aves,Icterus graduacauda,,,,
747,Aves,Icterus gularis,,,,
748,Aves,Icterus parisorum,,,,
749,Aves,Icterus pustulatus,,,,
750,Aves,Icterus spurius,,,,
751,Aves,Icterus wagleri,,,,
752,Aves,Ictinia mississippiensis,,,,
753,Aves,Ixobrychus exilis,,,,
754,Aves,Ixoreus naevius,,,,
755,Aves,Jabiru mycteria,,,,
756,Aves,Jacana jacana,,,,
757,Aves,Jacana spinosa,,,,
758,Aves,Junco hyemalis,,,,
759,Aves,Junco hyemalis caniceps,,,,
760,Aves,Junco hyemalis hyemalis,,,,
761,Aves,Junco hyemalis oreganus,,,,
762,Aves,Junco phaeonotus,,,,
763,Aves,Lagopus lagopus,,,,
764,Aves,Lampornis clemenciae,,,,
765,Aves,Lanius collurio,,,,
766,Aves,Lanius excubitor,,,,
767,Aves,Lanius ludovicianus,,,,
768,Aves,Larus argentatus,,,,
769,Aves,Larus argentatus smithsonianus,,,,
770,Aves,Larus californicus,,,,
771,Aves,Larus canus,,,,
772,Aves,Larus delawarensis,,,,
773,Aves,Larus dominicanus,,,,
774,Aves,Larus dominicanus dominicanus,,,,
775,Aves,Larus fuscus,,,,
776,Aves,Larus glaucescens,,,,
777,Aves,Larus glaucescensoccidentalis,,,,
778,Aves,Larus glaucoides,,,,
779,Aves,Larus heermanni,,,,
780,Aves,Larus hyperboreus,,,,
781,Aves,Larus livens,,,,
782,Aves,Larus marinus,,,,
783,Aves,Larus michahellis,,,,
784,Aves,Larus occidentalis,,,,
785,Aves,Larus thayeri,,,,
786,Aves,Leptoptilos crumenifer,,,,
787,Aves,Leptotila verreauxi,,,,
788,Aves,Leucophaeus atricilla,,,,
789,Aves,Leucophaeus pipixcan,,,,
790,Aves,Limnodromus griseus,Short-billed dowitcher,parent in imagenet,parent: dowitcher,NE
791,Aves,Limnodromus scolopaceus,Long-billed dowitcher,parent in imagenet,parent: dowitcher,NE
792,Aves,Limosa fedoa,,,,
793,Aves,Limosa haemastica,,,,
794,Aves,Limosa lapponica,,,,
795,Aves,Limosa limosa,,,,
796,Aves,Lonchura oryzivora,,,,
797,Aves,Lonchura punctulata,,,,
798,Aves,Lophodytes cucullatus,,,,
799,Aves,Lophura leucomelanos,,,,
800,Aves,Loxia curvirostra,,,,
801,Aves,Loxia leucoptera,,,,
802,Aves,Luscinia svecica,,,,
803,Aves,Malurus cyaneus,,,,
804,Aves,Manorina melanocephala,,,,
805,Aves,Megaceryle alcyon,,,,
806,Aves,Megaceryle torquata,,,,
807,Aves,Megadyptes antipodes,,,,
808,Aves,Megarynchus pitangua,,,,
809,Aves,Megascops asio,,,,
810,Aves,Megascops kennicottii,,,,
811,Aves,Melanerpes aurifrons,,,,
812,Aves,Melanerpes carolinus,,,,
813,Aves,Melanerpes chrysogenys,,,,
814,Aves,Melanerpes erythrocephalus,,,,
815,Aves,Melanerpes formicivorus,,,,
816,Aves,Melanerpes lewis,,,,
817,Aves,Melanerpes pucherani,,,,
818,Aves,Melanerpes uropygialis,,,,
819,Aves,Melanitta americana,,,,
820,Aves,Melanitta fusca,,,,
821,Aves,Melanitta perspicillata,,,,
822,Aves,Melanotis caerulescens,,,,
823,Aves,Meleagris gallopavo,,,,
824,Aves,Meleagris gallopavo intermedia,,,,
825,Aves,Meleagris gallopavo silvestris,,,,
826,Aves,Meleagris ocellata,,,,
827,Aves,Melopsittacus undulatus,,,,
828,Aves,Melospiza georgiana,,,,
829,Aves,Melospiza lincolnii,,,,
830,Aves,Melospiza melodia,,,,
831,Aves,Melozone aberti,,,,
832,Aves,Melozone crissalis,,,,
833,Aves,Melozone fusca,,,,
834,Aves,Mergus merganser,,,,
835,Aves,Mergus serrator,Red-breasted Merganser,in imagenet,,NE
836,Aves,Merops apiaster,,,,
837,Aves,Merops orientalis,,,,
838,Aves,Merops pusillus,,,,
839,Aves,Microcarbo melanoleucos,,,,
840,Aves,Microcarbo melanoleucos brevirostris,,,,
841,Aves,Milvago chimachima,,,,
842,Aves,Milvus migrans,,,,
843,Aves,Milvus milvus,,,,
844,Aves,Mimus gilvus,,,,
845,Aves,Mimus polyglottos,,,,
846,Aves,Mitrephanes phaeocercus,,,,
847,Aves,Mniotilta varia,,,,
848,Aves,Molothrus aeneus,,,,
849,Aves,Molothrus ater,,,,
850,Aves,Momotus coeruliceps,,,,
851,Aves,Momotus lessonii,,,,
852,Aves,Momotus mexicanus,,,,
853,Aves,Monticola solitarius,,,,
854,Aves,Morus bassanus,,,,
855,Aves,Morus serrator,,,,
856,Aves,Motacilla aguimp,,,,
857,Aves,Motacilla alba,,,,
858,Aves,Motacilla cinerea,,,,
859,Aves,Motacilla flava,,,,
860,Aves,Muscicapa striata,,,,
861,Aves,Myadestes townsendi,,,,
862,Aves,Mycteria americana,,,,
863,Aves,Mycteria ibis,,,,
864,Aves,Myiarchus cinerascens,,,,
865,Aves,Myiarchus crinitus,,,,
866,Aves,Myiarchus tuberculifer,,,,
867,Aves,Myiarchus tyrannulus,,,,
868,Aves,Myioborus miniatus,,,,
869,Aves,Myioborus pictus,,,,
870,Aves,Myiodynastes luteiventris,,,,
871,Aves,Myiopsitta monachus,,,,
872,Aves,Myiozetetes similis,,,,
873,Aves,Nestor meridionalis,,,,
874,Aves,Nestor meridionalis septentrionalis,,,,
875,Aves,Nestor notabilis,,,,
876,Aves,Netta rufina,,,,
877,Aves,Ninox novaeseelandiae novaeseelandiae,,,,
878,Aves,Notiomystis cincta,,,,
879,Aves,Nucifraga columbiana,,,,
880,Aves,Numenius americanus,,,,
881,Aves,Numenius arquata,,,,
882,Aves,Numenius phaeopus,,,,
883,Aves,Numida meleagris,,,,
884,Aves,Nyctanassa violacea,,,,
885,Aves,Nyctibius jamaicensis,,,,
886,Aves,Nycticorax nycticorax,,,,
887,Aves,Nyctidromus albicollis,,,,
888,Aves,Oceanites oceanicus,,,,
889,Aves,Ocyphaps lophotes,,,,
890,Aves,Oenanthe oenanthe,,,,
891,Aves,Onychognathus morio,,,,
892,Aves,Onychoprion fuscatus,,,,
893,Aves,Opisthocomus hoazin,,,,
894,Aves,Oreoscoptes montanus,,,,
895,Aves,Oreothlypis celata,,,,
896,Aves,Oreothlypis peregrina,,,,
897,Aves,Oreothlypis ruficapilla,,,,
898,Aves,Oriturus superciliosus,,,,
899,Aves,Ortalis poliocephala,,,,
900,Aves,Ortalis vetula,,,,
901,Aves,Oxyura jamaicensis,,,,
902,Aves,Pachyramphus aglaiae,,,,
903,Aves,Pandion haliaetus,,,,
904,Aves,Parabuteo unicinctus,,,,
905,Aves,Parkesia motacilla,,,,
906,Aves,Parkesia noveboracensis,,,,
907,Aves,Paroaria capitata,,,,
908,Aves,Paroaria coronata,,,,
909,Aves,Parus major,,,,
910,Aves,Passer domesticus,,,,
911,Aves,Passer italiae,,,,
912,Aves,Passer montanus,,,,
913,Aves,Passerculus sandwichensis,,,,
914,Aves,Passerella iliaca,,,,
915,Aves,Passerina amoena,,,,
916,Aves,Passerina caerulea,,,,
917,Aves,Passerina ciris,,,,
918,Aves,Passerina cyanea,Indigo bunting,in imagenet,,NE
919,Aves,Passerina leclancherii,,,,
920,Aves,Passerina versicolor,,,,
921,Aves,Patagioenas fasciata,,,,
922,Aves,Patagioenas flavirostris,,,,
923,Aves,Patagioenas leucocephala,,,,
924,Aves,Pavo cristatus,"Peacock, Indian peafowl, common peafowl, blue peafowl",in imagenet,,NE
925,Aves,Pelecanus conspicillatus,,,,
926,Aves,Pelecanus erythrorhynchos,,,,
927,Aves,Pelecanus occidentalis,,,,
928,Aves,Pelecanus occidentalis californicus,,,,
929,Aves,Pelecanus occidentalis carolinensis,,,,
930,Aves,Pelecanus onocrotalus,,,,
931,Aves,Penelope purpurascens,,,,
932,Aves,Periparus ater,,,,
933,Aves,Perisoreus canadensis,,,,
934,Aves,Petrochelidon fulva,,,,
935,Aves,Petrochelidon pyrrhonota,,,,
936,Aves,Petroica australis australis,,,,
937,Aves,Petroica australis longipes,,,,
938,Aves,Petroica macrocephala macrocephala,,,,
939,Aves,Peucaea ruficauda,,,,
940,Aves,Phaethon aethereus,,,,
941,Aves,Phainopepla nitens,,,,
942,Aves,Phalacrocorax auritus,,,,
943,Aves,Phalacrocorax brasilianus,,,,
944,Aves,Phalacrocorax carbo,,,,
945,Aves,Phalacrocorax carbo novaehollandiae,,,,
946,Aves,Phalacrocorax pelagicus,,,,
947,Aves,Phalacrocorax penicillatus,,,,
948,Aves,Phalacrocorax sulcirostris,,,,
949,Aves,Phalacrocorax varius,,,,
950,Aves,Phalacrocorax varius varius,,,,
951,Aves,Phalaenoptilus nuttallii,,,,
952,Aves,Phalaropus fulicarius,,,,
953,Aves,Phalaropus lobatus,,,,
954,Aves,Phalaropus tricolor,,,,
955,Aves,Pharomachrus mocinno,,,,
956,Aves,Phasianus colchicus,,,,
957,Aves,Pheucticus ludovicianus,,,,
958,Aves,Pheucticus melanocephalus,,,,
959,Aves,Philesturnus rufusater,,,,
960,Aves,Phoebastria immutabilis,,,,
961,Aves,Phoebastria nigripes,,,,
962,Aves,Phoenicopterus roseus,,,,
963,Aves,Phoenicopterus ruber,,,,
964,Aves,Phoenicurus ochruros,,,,
965,Aves,Phoenicurus phoenicurus,,,,
966,Aves,Phylloscopus collybita,,,,
967,Aves,Piaya cayana,,,,
968,Aves,Pica hudsonia,,,,
969,Aves,Pica nuttalli,,,,
970,Aves,Pica pica,,,,
971,Aves,Picoides albolarvatus,,,,
972,Aves,Picoides arcticus,,,,
973,Aves,Picoides dorsalis,,,,
974,Aves,Picoides nuttallii,,,,
975,Aves,Picoides pubescens,,,,
976,Aves,Picoides scalaris,,,,
977,Aves,Picoides villosus,,,,
978,Aves,Picus viridis,,,,
979,Aves,Pinicola enucleator,,,,
980,Aves,Pipilo chlorurus,,,,
981,Aves,Pipilo erythrophthalmus,,,,
982,Aves,Pipilo maculatus,,,,
983,Aves,Piranga bidentata,,,,
984,Aves,Piranga flava,,,,
985,Aves,Piranga ludoviciana,,,,
986,Aves,Piranga olivacea,,,,
987,Aves,Piranga rubra,,,,
988,Aves,Pitangus sulphuratus,,,,
989,Aves,Platalea ajaja,,,,
990,Aves,Platalea alba,,,,
991,Aves,Platalea leucorodia,,,,
992,Aves,Platalea regia,,,,
993,Aves,Platycercus elegans,,,,
994,Aves,Platycercus eximius,,,,
995,Aves,Plectrophenax nivalis,,,,
996,Aves,Plegadis chihi,,,,
997,Aves,Plegadis falcinellus,,,,
998,Aves,Pluvialis dominica,,,,
999,Aves,Pluvialis fulva,,,,
1000,Aves,Pluvialis squatarola,,,,
1001,Aves,Podiceps auritus,,,,
1002,Aves,Podiceps cristatus,,,,
1003,Aves,Podiceps grisegena,,,,
1004,Aves,Podiceps nigricollis,,,,
1005,Aves,Podilymbus podiceps,,,,
1006,Aves,Poecile atricapillus,,,,
1007,Aves,Poecile carolinensis,,,,
1008,Aves,Poecile gambeli,,,,
1009,Aves,Poecile rufescens,,,,
1010,Aves,Polioptila caerulea,,,,
1011,Aves,Polioptila melanura,,,,
1012,Aves,Pooecetes gramineus,,,,
1013,Aves,Porphyrio hochstetteri,,,,
1014,Aves,Porphyrio martinicus,,,,
1015,Aves,Porphyrio melanotus,,,,
1016,Aves,Porphyrio melanotus melanotus,,,,
1017,Aves,Porphyrio poliocephalus,,,,
1018,Aves,Porzana carolina,,,,
1019,Aves,Progne subis,,,,
1020,Aves,Prosthemadera novaeseelandiae,,,,
1021,Aves,Prosthemadera novaeseelandiae novaeseelandiae,,,,
1022,Aves,Protonotaria citrea,,,,
1023,Aves,Prunella modularis,,,,
1024,Aves,Psaltriparus minimus,,,,
1025,Aves,Psarocolius montezuma,,,,
1026,Aves,Psilorhinus morio,,,,
1027,Aves,Psittacara erythrogenys,,,,
1028,Aves,Psittacara holochlorus,,,,
1029,Aves,Psittacula krameri,,,,
1030,Aves,Pteroglossus torquatus,,,,
1031,Aves,Ptiliogonys cinereus,,,,
1032,Aves,Pycnonotus barbatus,,,,
1033,Aves,Pycnonotus cafer,,,,
1034,Aves,Pycnonotus jocosus,,,,
1035,Aves,Pyrocephalus rubinus,,,,
1036,Aves,Pyrrhocorax graculus,,,,
1037,Aves,Pyrrhula pyrrhula,,,,
1038,Aves,Quiscalus major,,,,
1039,Aves,Quiscalus mexicanus,,,,
1040,Aves,Quiscalus niger,,,,
1041,Aves,Quiscalus quiscula,,,,
1042,Aves,Rallus crepitans,,,,
1043,Aves,Rallus limicola,,,,
1044,Aves,Rallus obsoletus,,,,
1045,Aves,Ramphastos ambiguus,,,,
1046,Aves,Ramphastos sulfuratus,,,,
1047,Aves,Ramphocelus passerinii,,,,
